RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,target
0.028892388,58,0,0.444281882,4100,6,0,2,0,0,-1
0.360241571,36,0,2548,6670.221237,9,0,1,0,0.757222268,-1
0.995006242,38,1,0.28388897,6808,9,0,1,0,0,-1
0,79,0,0,9916,4,0,0,0,0,-1
0.007313881,78,0,315,6670.221237,11,0,0,0,0.757222268,-1
0.672744686,49,0,6293,6670.221237,16,0,3,0,2,-1
0.026201979,68,0,0.440742504,2100,10,0,1,0,0,-1
0.696783975,49,0,0.344413897,4000,5,0,0,0,2,-1
0.068362601,59,0,0.39862259,3629,6,0,1,0,0,-1
0.868452246,72,0,0.324428614,3368,11,0,0,0,0,-1
0.043300312,35,0,0.196209436,7333,4,0,2,0,2,-1
0.105533157,63,0,0.33777403,5929,8,0,2,0,0,-1
0.021045201,58,0,0.00433635,5303,3,0,0,0,0,-1
0.075460371,52,0,0.106973257,4000,14,0,0,0,3,-1
0.145742021,43,0,0.812080537,3426,8,0,2,0,3,-1
0,79,0,0.000245761,4068,7,0,0,0,0,-1
0.891726818,31,0,0.325761018,2200,11,0,0,0,0,-1
0,63,0,2182,6670.221237,5,0,2,0,0,-1
0.047566762,52,0,0.01079784,3333,8,0,0,0,0,-1
0.00280939,81,0,400,6670.221237,5,0,0,0,0.757222268,-1
0.304914286,65,2,0.282742317,4229,18,0,0,0,0,-1
0.959170069,39,2,0.275891162,4740,6,1,0,1,2,-1
0.014605567,65,0,0.062555144,11333,9,0,2,0,0,-1
0.36093141,79,0,0.472764125,3946,10,0,2,0,0,-1
0.387755102,54,0,2622,6670.221237,13,0,2,0,2,-1
0.00191296,41,0,3026,6670.221237,11,0,2,0,0,-1
0.026285233,65,0,46,6670.221237,12,0,0,0,0,-1
0.062512401,49,0,0.562583321,6750,12,0,2,0,2,-1
0.0087052,80,0,0.000861698,2320,4,0,0,0,0,-1
0.016349183,49,0,0.059306975,9003,4,0,1,0,0,-1
0.326146058,70,0,0.74652029,5100,14,0,2,0,0,-1
0.9999999,27,0,0.014330945,6000,2,0,0,1,1,-1
